运行 java测试 案例 com.example.demo.FFmpegJNITest
sbc run -t -v /home/user/JAVA-TEST/java-rtf-test/ffmpeg/files:/tmp@/home/user/JAVA-TEST/java-rtf-test/rmi.sh:/opt/app/lib/logback-classic-1.2.3.jar@/home/user/JAVA-TEST/java-rtf-test/test-classes/com:/opt/app/test-classes/com -p docker.bplatform.demo/java_rtf_ft:2.1 docker.bplatform.demo/java_rtf_test_all:1.0  /opt/app/runTest com.example.demo.FFmpegJNITest encode_audio /tmp/03.pcm /tmp/04.aac
TEST_DIR=/opt/app
/usr/lib/jvm/java-11-openjdk-arm64/bin/java -classpath /opt/app/lib/*:/opt/app/classes:/opt/app/test-classes com.example.demo.FFmpegJNITest encode_audio /tmp/03.pcm /tmp/04.aac
音频编码
Output #0, adts, to '/tmp/04.aac':
    Stream #0:0: Audio: aac (LC), 44100 Hz, stereo, fltp, 64 kb/s
pts:197632 pts_time:4.48145 dts:197632 dts_time:4.48145 duration:1024 duration_time:0.02322 stream_index:0
pts:198656 pts_time:4.50467 dts:198656 dts_time:4.50467 duration:1024 duration_time:0.02322 stream_index:0
pts:199680 pts_time:4.52789 dts:199680 dts_time:4.52789 duration:1024 duration_time:0.02322 stream_index:0
pts:200704 pts_time:4.55111 dts:200704 dts_time:4.55111 duration:1024 duration_time:0.02322 stream_index:0
pts:201728 pts_time:4.57433 dts:201728 dts_time:4.57433 duration:1024 duration_time:0.02322 stream_index:0
pts:202752 pts_time:4.59755 dts:202752 dts_time:4.59755 duration:1024 duration_time:0.02322 stream_index:0
pts:203776 pts_time:4.62077 dts:203776 dts_time:4.62077 duration:1024 duration_time:0.02322 stream_index:0
pts:204800 pts_time:4.64399 dts:204800 dts_time:4.64399 duration:1024 duration_time:0.02322 stream_index:0
pts:205824 pts_time:4.66721 dts:205824 dts_time:4.66721 duration:1024 duration_time:0.02322 stream_index:0
pts:206848 pts_time:4.69043 dts:206848 dts_time:4.69043 duration:1024 duration_time:0.02322 stream_index:0
pts:207872 pts_time:4.71365 dts:207872 dts_time:4.71365 duration:1024 duration_time:0.02322 stream_index:0
